Virus     Person              	Effected
baa       bbaabbba            	Yes
baa       aaabbbba            	Yes
aabb      abceaabb            	Yes
aabb      abaabcea            	Yes
abcd      cdabbbab            	Yes
abcd      cabbbbab            	No
abcde     bcdedbda            	No
acc       bdedbcda            	No
cde       cdcdcdec            	Yes
cced      cdccdcce            	Yes
bcd       aabccdxdxbxa        	No
abb       bbbbbbbbabbbbbb     	Yes
abbab     abbabaab            	Yes
baa       cacdveabacsd        	Yes
abe       def                 	No
